Month,Items,Cost
2023-08-01,AIRBNB,5425
2023-08-01,CASH,800
2023-09-01,AIRBNB,4967
2023-09-01,CASH,431
2023-10-01,AIRBNB,4967
2023-10-01,CASH,431
2023-11-01,AIRBNB,4683
2023-11-01,CASH,400
2023-12-01,AIRBNB,3500
2023-12-01,CASH,200
2023-12-01,VRBO,774
2024-01-01,AIRBNB,5545
2024-02-01,AIRBNB,3529
2024-02-01,CASH,1090
2024-02-01,VRBO,454
2024-03-01,AIRBNB,3983
2024-03-01,VRBO,1825
2024-04-01,AIRBNB,4175
2024-04-01,VRBO,1789
2024-05-01,AIRBNB,4589
2024-05-01,CASH,500
2024-06-01,AIRBNB,5377
2024-07-01,AIRBNB,4833
2024-07-01,VRBO,636
2024-08-01,AIRBNB,5110
2024-09-01,AIRBNB,4140
2024-10-01,AIRBNB,3370
2024-10-01,CASH,900
2024-11-01,AIRBNB,4498
2024-11-01,CASH,300
